,Power,Var2,Var3,Eta
last_value,98.742,0.0388441,29.847,0.8513687555500592
MaxScala,248.0,80.0,50.0,100.0
Media,99.25582980411068,12.0,31.5,0.855799075382453
Dev,1.622799381644238,15.0,0.9,0.013992026595145535
