,Power,Var2,Var3,Eta
last_value,152.7632,0.07201073,26.82654,0.7904936920237828
MaxScala,259.3,80.0,40.0,100.0
Media,148.9505044384528,69.4,27.1,0.770764386857289
Dev,3.3715195056828255,15.0,0.5,0.01744638042262414
