,Power,Var2,Var3,Eta
last_value,49.642,0.026827880000000002,26.37818,0.701228607144992
MaxScala,100.0,0.03,40.0,100.0
Media,49.48477473469047,0.026,26.9,0.69900768828997
Dev,1.0399797569292673,0.006,0.5,0.014690454784466733
