QOut,etaOut,devEta
1,NaN,NaN
9,0.463473478218359,0.26768942981346
11,0.506396563927119,0.0609456398451853
13,0.566743838828767,0.090979018330829
15,0.613311658700279,0.0869972039719895
17,0.639612434299642,0.0762754403638975
19,0.670706500105341,0.0499449333440179
21,0.697304682633346,0.0606494860134567
23,0.708981642223492,0.0517092869976555
25,0.719510936608827,0.0405081024102589
27,0.738504018416212,0.0548835230476321
29,0.742600962896858,0.0341638208489277
31,0.753188625860786,0.0342667299994907
33,0.761902387461917,0.0249863520788921
35,0.767447345072264,0.0248265230559954
37,0.77142829617248,0.0283472618393465
39,0.780233661885771,0.0193939763651654
41,0.780317430809079,0.01808322354742
43,0.784645626434175,0.0183431391887874
45,0.78530569172059,0.0182005225861265
47,0.78720877840151,0.0211595293212096
49,0.789511551238747,0.0240782787383293
51,0.793208736845624,0.0148536614076111
53,0.794851875785815,0.014467305011531
55,0.794225138298202,0.0194447054427924
57,0.797666081506817,0.0112182417762147
59,0.798237298870377,0.00891690174050397
61,0.798081557220734,0.00707612950347388
63,0.796124665543021,0.00508379864458239
65,0.78574112705392,0.00924516011048637
67,0.770755315195959,0.00684495012424351
69,0.7653280479879,0.00884005421669887
71,0.766250385907659,0.0110586140162088
73,0.769002523444548,0.0116775226582869
75,0.771326194603565,0.012722085113567
77,0.776752424658748,0.0120159015727366
79,0.778896477360422,0.0113569112447311
81,0.782129337893795,0.00859921983173737
83,0.784367396122461,0.00715420961360015
85,0.786810987153698,0.00659979538458258
87,0.788062511944358,0.00588869089601632
89,0.790025980567246,0.0092615853992195
91,0.79852770906152,0.0119293628463471
93,0.792923889539254,0.0055973301733949
95,0.793599227366802,0.00982481261984301
97,0.799669715449618,0.0099345420696013
99,0.800960378680363,0.00906311134336513
101,0.79779213232207,0.00127983804909875
