,t,Q,P,h,Target,dt,tIn,tOff,PRDay
38,2023-10-26 09:30:00,1.9825,207.5667,14.28451792,253.07554622169346,16.5,2023-10-26,2023-10-26 16:30:00,74.71535928033926
39,2023-10-26 09:45:00,1.9811,207.5649,14.26412312,252.53575471201538,16.5,2023-10-26,2023-10-26 16:30:00,74.87441296627614
40,2023-10-26 10:00:00,1.9782,207.7312,14.28247844,252.49057615694184,16.5,2023-10-26,2023-10-26 16:30:00,74.94781012207363
41,2023-10-26 10:15:00,1.9749,207.3811,14.271261299999999,251.87140595516118,16.5,2023-10-26,2023-10-26 16:30:00,75.0054288684747
42,2023-10-26 10:30:00,1.979,207.7438,14.291656099999999,252.7549968278919,16.5,2023-10-26,2023-10-26 16:30:00,74.8739443915317
43,2023-10-26 10:45:00,1.9756,207.4076,14.2865574,252.23073567434506,16.5,2023-10-26,2023-10-26 16:30:00,74.90814643980359
44,2023-10-26 11:00:00,1.9804,207.2863,14.25290598,252.2480029662107,16.5,2023-10-26,2023-10-26 16:30:00,74.85921251786353
45,2023-10-26 11:15:00,1.9774,207.2742,14.267182339999998,252.1181665644126,16.5,2023-10-26,2023-10-26 16:30:00,74.89339165491538
46,2023-10-26 11:30:00,1.982,207.0766,14.244748060000001,252.30730300929093,16.5,2023-10-26,2023-10-26 16:30:00,74.76590518555825
47,2023-10-26 11:45:00,1.9804,207.5975,14.237609879999999,251.9772925101405,16.5,2023-10-26,2023-10-26 16:30:00,75.05214437917198
48,2023-10-26 12:00:00,1.9831,207.2952,14.26412312,252.7906996968339,16.5,2023-10-26,2023-10-26 16:30:00,74.70171032422448
49,2023-10-26 12:15:00,1.9805,207.6046,14.291656099999999,252.94657464256687,16.5,2023-10-26,2023-10-26 16:30:00,74.76710428144979
50,2023-10-26 12:30:00,1.9883,207.5761,14.23353092,252.90997596679017,16.5,2023-10-26,2023-10-26 16:30:00,74.76765832275844
51,2023-10-26 12:45:00,1.9845,207.5765,14.24168884,252.5712971923481,16.5,2023-10-26,2023-10-26 16:30:00,74.86806029966269
52,2023-10-26 13:00:00,1.9829,207.6606,14.230471699999999,252.1688903733917,16.5,2023-10-26,2023-10-26 16:30:00,75.01791481156556
53,2023-10-26 13:15:00,1.9819,207.8406,14.20395846,251.5721317458591,16.5,2023-10-26,2023-10-26 16:30:00,75.26104581294487
54,2023-10-26 13:30:00,1.9888,207.0832,14.22435326,252.81046030253455,16.5,2023-10-26,2023-10-26 16:30:00,74.61948018175588
55,2023-10-26 13:45:00,1.9885,206.9668,14.21109664,252.5367498504319,16.5,2023-10-26,2023-10-26 16:30:00,74.65836751982626
56,2023-10-26 14:00:00,1.9861,207.216,14.210076899999999,252.21385386192094,16.5,2023-10-26,2023-10-26 16:30:00,74.84395673727478
57,2023-10-26 14:15:00,1.9885,207.1729,14.219254560000001,252.6817192820338,16.5,2023-10-26,2023-10-26 16:30:00,74.68983729859795
58,2023-10-26 14:30:00,1.985,207.6709,14.2049782,251.98371899009814,16.5,2023-10-26,2023-10-26 16:30:00,75.07676570311963
59,2023-10-26 14:45:00,1.9874,207.5629,14.230471699999999,252.74116331034276,16.5,2023-10-26,2023-10-26 16:30:00,74.81283992725159
60,2023-10-26 15:00:00,1.9917,207.5744,14.199879500000002,252.74349167907388,16.5,2023-10-26,2023-10-26 16:30:00,74.81629568215719
61,2023-10-26 15:15:00,1.9924,207.517,14.23149144,253.3951788487852,16.5,2023-10-26,2023-10-26 16:30:00,74.60324597949909
62,2023-10-26 15:30:00,1.9876,207.4172,14.22741248,252.71225873131615,16.5,2023-10-26,2023-10-26 16:30:00,74.76887550758615
63,2023-10-26 15:45:00,1.9848,207.2731,14.235570399999999,252.5009540290004,16.5,2023-10-26,2023-10-26 16:30:00,74.77945759899033
64,2023-10-26 16:00:00,1.9935,207.2417,14.2049782,253.0627424719197,16.5,2023-10-26,2023-10-26 16:30:00,74.60214714499514
65,2023-10-26 16:15:00,1.9904,207.1168,14.209057160000002,252.74177023542103,16.5,2023-10-26,2023-10-26 16:30:00,74.65187080886555
66,2023-10-26 16:30:00,1.9964,207.3457,14.21415586,238.59787193870514,16.5,2023-10-26,2023-10-26 16:30:00,74.48303957839295
