t,Q,P,Bar,Eta,PST,PPAR
2024-02-26 17:00:00,0.10004509,202.77962666666667,26.594228333333334,0.7790943799601079,151.34112666666667,51.4385
2024-02-26 17:30:00,0.10869372833333332,223.7315,26.565704166666663,0.7968006962495334,171.2925,52.439
2024-02-26 18:00:00,0.09971723,204.3056,26.681455,0.7851820935227662,152.70059999999998,51.605
2024-02-26 18:30:00,0.09590464500000001,196.946375,26.79005875,0.7840289811072296,144.968875,51.9775
2024-02-26 19:00:00,0.0960992375,197.413125,26.78597375,0.785121818526845,145.42275,51.990375
2024-02-26 19:30:00,0.09546710333333333,196.0917,26.824425,0.7832378466801337,144.16619999999998,51.9255
2024-02-26 20:00:00,0.09171724333333331,190.9217,26.916788333333336,0.7937163099004598,138.8442,52.07750000000001
2024-02-26 20:30:00,0.094828805,196.48415,26.905263750000003,0.790378979928625,143.81115,52.673
2024-02-26 21:00:00,0.094687585,196.45855,26.9277275,0.7899024268992991,144.007925,52.450625
2024-02-26 21:30:00,0.09344295,193.714725,26.9574775,0.7884092977826891,141.37135,52.343375
2024-02-26 22:00:00,0.09352661999999999,194.06133333333327,26.94136833333333,0.7911406589745812,141.566,52.49533333333333
2024-02-26 22:30:00,0.09347929,194.18313333333336,26.95106833333333,0.791069854811699,141.47213333333335,52.711000000000006
2024-02-26 23:00:00,0.09202812249999999,192.0571,26.95315875,0.7957981658426846,139.60535,52.45175
2024-02-26 23:30:00,0.0899799525,189.245025,26.97245875,0.803658965114008,136.90365,52.341375
2024-02-27 00:00:00,0.090840335,190.450225,26.99586125,0.7992587720808714,138.045475,52.40475
2024-02-27 00:30:00,0.09362053666666668,194.9963833333333,26.97649833333333,0.7931646472124938,142.43163333333334,52.56475
2024-02-27 01:00:00,0.09352867333333331,195.2929,27.108035,0.7933687476233907,141.73023333333333,53.56266666666667
2024-02-27 01:30:00,0.06729209500000001,144.08918899999998,27.763815,inf,88.34531399999999,55.743875
2024-02-27 02:00:00,0.055558752499999996,117.9225715,28.05752625,inf,61.5496965,56.372875
2024-02-27 02:30:00,0.07081597333333334,148.90734333333333,27.69106,0.7840159548351077,93.97534333333334,54.932
2024-02-27 03:00:00,0.07451856000000001,159.47806333333332,27.73261,0.8030508100483351,103.74689666666666,55.73116666666667
2024-02-27 03:30:00,0.0909268,188.9155,27.01566375,0.7942800371357105,136.047875,52.867625
2024-02-27 04:00:00,0.1016952575,206.4094,26.47968625,0.7814124792116306,155.76590000000002,50.6435
2024-02-27 04:30:00,0.10002317666666669,204.02203333333333,26.60907,0.782860409098451,152.55603333333332,51.466
2024-02-27 05:00:00,0.09721178666666669,199.58983333333333,26.71476833333333,0.7849750284970902,147.98283333333333,51.607
2024-02-27 05:30:00,0.09818969,202.14235,26.76553125,0.7869962539676245,150.120475,52.021875
2024-02-27 06:00:00,0.1017417675,210.062275,26.72831625,0.7935402114529748,157.956025,52.10625
2024-02-27 06:30:00,0.10396868999999999,214.794,26.684871666666663,0.7968205384533708,162.71333333333334,52.080666666666666
2024-02-27 07:00:00,0.10253719,210.731725,26.67265,0.791001494650375,158.9301,51.801625
2024-02-27 07:30:00,0.10179366249999999,209.748675,26.710815,0.7918115607826901,157.850175,51.8985
2024-02-27 08:00:00,0.10293646,212.22126666666668,26.714246666666668,0.793064722973634,160.1611,52.06016666666667
2024-02-27 08:30:00,0.10312655666666666,210.9361333333333,26.614785,0.787418260242703,159.35563333333334,51.5805
2024-02-27 09:00:00,0.09795070249999997,200.5002,26.7116475,0.7818693122745835,149.1062,51.394
2024-02-27 09:30:00,0.09479783500000001,194.6065,26.8368125,0.7801853828915045,142.9425,51.664
2024-02-27 10:00:00,0.09462923000000001,195.31836666666663,26.90381,0.7861048286131841,143.0187,52.29966666666667
2024-02-27 10:30:00,0.09718307333333334,201.7292,26.87417,0.7945771956384197,149.13036666666667,52.59883333333333
2024-02-27 11:00:00,0.100754995,208.841175,26.833530000000003,0.7950905450952549,156.2053,52.635875
2024-02-27 11:30:00,0.1006801125,207.53567500000003,26.762395,0.7903418441927426,155.29705,52.238625
2024-02-27 12:00:00,0.0959961675,197.42085,26.76073375,0.7866124262810676,145.61735,51.8035
2024-02-27 12:30:00,0.09198207666666666,191.05533333333327,26.85590333333333,0.7936446621061626,139.02266666666665,52.03266666666666
2024-02-27 13:00:00,0.09419126333333334,196.09516666666667,26.92472666666667,0.7947271968336332,143.40966666666668,52.6855
2024-02-27 13:30:00,0.10016630333333332,206.9147,26.797246666666663,0.7930465413194127,154.4277,52.487
2024-02-27 14:00:00,0.09752411666666669,201.55296666666663,26.82657333333333,0.7894413687831282,149.35063333333332,52.202333333333335
2024-02-27 14:30:00,0.09498639749999999,197.56565,26.863446250000003,0.7962447888182842,145.24365,52.322
2024-02-27 15:00:00,0.0974491475,201.53155,26.85007125,0.790870610885835,149.0848,52.44675
2024-02-27 15:30:00,0.07651851750000001,159.93136424999997,27.470285000000004,inf,105.30361424999998,54.62775
2024-02-27 16:00:00,0.060559103333333336,130.4868623333333,27.981611666666662,inf,73.937529,56.549333333333344
