QOut,etaOut,devEta
0.25,NaN,NaN
0.75,0.000111734399244829,0.00457525014231872
1.25,0.0932982877020834,0.172425664556093
1.75,0.234886965631922,0.341674499508672
2.25,0.314499610956015,0.17991409977762
2.75,0.351649964644691,0.180981282546004
3.25,0.442995533029139,0.226330584173049
3.75,0.454076571361831,0.156098515146116
4.25,0.518994513442401,0.242317178537857
4.75,0.542662476251552,0.188729778687526
5.25,0.541355231798339,0.122257352380964
5.75,0.577561421364985,0.0994294086279904
6.25,0.582063581070438,0.136841739313142
6.75,0.58373982993072,0.150226184888217
7.25,0.611427797762077,0.0818917004417344
7.75,0.616433075614903,0.112215553078851
8.25,0.652954381829312,0.138316941660064
8.75,0.653030184147413,0.120350595625075
9.25,0.649759690019115,0.120672337721841
9.75,0.66995338238179,0.0781640065531306
10.25,0.667327073433832,0.123493196495071
10.75,0.691629269366814,0.104542373585829
11.25,0.683311569542176,0.0953385650488852
11.75,0.685727738513528,0.172225991318819
12.25,0.695281016903813,0.127889959630236
12.75,0.652358210264426,0.136591642446094
13.25,0.680271700915293,0.117514482964832
13.75,0.671138948275971,0.0714538153928701
14.25,0.667182142265942,0.0367264837247071
14.75,0.677896502331412,0.0418021172052811
15.25,0.70151554319944,0.0547373912955628
15.75,0.702775085469496,0.0500230727685054
16.25,0.706903678589585,0.0494292133075981
16.75,0.720689044195557,0.0442979404601347
17.25,0.729823381678944,0.0455476086909969
17.75,0.734853817374554,0.0386222028864735
18.25,0.741367568725052,0.0511468189452735
18.75,0.751412074497922,0.0388880200886377
19.25,0.755145055937165,0.0331037492294983
19.75,0.756862553728316,0.0331452498153788
20.25,0.766473393256873,0.0392076783052701
20.75,0.772596396091544,0.0295105962344483
21.25,0.775849174007567,0.0296771492885467
21.75,0.782620561622989,0.0391288641326094
22.25,0.786873053555107,0.0281397543480698
22.75,0.791569779078723,0.0322178669515555
23.25,0.792671205907264,0.0322040563976185
23.75,0.799295286018936,0.0281797166725961
24.25,0.801741967834011,0.0215814522239619
24.75,0.804306858565577,0.0240144870602442
25.25,0.812955518082571,0.0145506595709223
25.75,0.816236790711453,0.0140749368695483
26.25,0.820017786972669,0.0147578759447789
26.75,0.819398271212712,0.015212667501424
27.25,0.822880010677485,0.0138507638392264
27.75,0.823636468015107,0.0147067801301046
28.25,0.829655174055511,0.0103299795117401
28.75,0.829847859836112,0.0112139758805959
29.25,0.831454745737783,0.0151200152743817
29.75,0.83392219045466,0.00845559419163391
30.25,0.834982160820624,0.0131993972100467
30.75,0.83711324966126,0.0090098674364575
31.25,0.837966987226892,0.0109530247490109
31.75,0.841315175763002,0.00925733871458695
32.25,0.842900846402192,0.0114121230149686
32.75,0.842729971345465,0.0112758914503891
33.25,0.842820962940267,0.010000875390551
33.75,0.84493502716206,0.0100346237844081
34.25,0.844755924993955,0.011029285179034
34.75,0.847859410370198,0.00857222232043811
35.25,0.847670415888828,0.0094744468267924
35.75,0.84914449739124,0.0100268056675654
36.25,0.849727731847792,0.0101132256111906
36.75,0.851145465507566,0.00908846111978954
37.25,0.8496304145408,0.00999940614259504
37.75,0.85178461024545,0.00964068194722121
38.25,0.851587230044604,0.00874845420053554
38.75,0.852019901576394,0.0089781414459378
39.25,0.854147690383169,0.00910941412769918
39.75,0.856061133973698,0.00768503282033717
40.25,0.855892094154338,0.00661225463880489
40.75,0.85570946505742,0.00750184759991524
41.25,0.854749180473914,0.00673336071465681
41.75,0.855375499502925,0.00997105347015668
42.25,0.858334699193555,0.0062937819779591
42.75,0.856505790585805,0.00781174501894024
43.25,0.857708422816084,0.00696028957381947
43.75,0.858379113719472,0.00687800233302295
44.25,0.858642414495889,0.00638279128124405
44.75,0.859871742082989,0.00651359188390637
45.25,0.857008804479662,0.00672580630840315
45.75,0.858418814913665,0.00662436074464706
46.25,0.859752913683245,0.00554716791285612
46.75,0.860547820280571,0.00422662777650071
47.25,0.859303629355971,0.00376810589382602
47.75,0.859127262299832,0.00317901011541004
48.25,0.860707857796277,0.00213342665415596
48.75,0.860643318034737,0.000584628755766769
