,Power,Var2,Var3,Eta
last_value,201.240575,0.0984558975,26.70893625,0.7649952879294752
MaxScala,359.3,110.0,40.0,100.0
Media,198.41262187535838,95.4,27.0,0.7542451158290613
Dev,4.102815339004763,16.15549442140351,0.7071067811865476,0.01559642930648263
