,tP,tI,G,P,Target,ITargetDay,PRDay
56,2023-10-26 09:20:00,2023-10-26 09:20:00,438.9,94.0,394.8415718693846,342.42857142857144,23.12021429703581
57,2023-10-26 09:30:00,2023-10-26 09:30:00,371.6,399.0,335.547247090873,356.92857142857144,115.91156585474651
58,2023-10-26 09:40:00,2023-10-26 09:40:00,499.7,408.0,447.6894658998933,401.17142857142863,88.14149167005223
59,2023-10-26 09:50:00,2023-10-26 09:50:00,584.3,453.0,515.8195277895317,424.5857142857143,83.69353237554603
60,2023-10-26 10:00:00,2023-10-26 10:00:00,584.9,452.0,516.3492072635581,439.0142857142857,83.42311376823818
61,2023-10-26 10:10:00,2023-10-26 10:10:00,603.8,480.0,529.7847728704502,485.4142857142857,85.81786603964129
62,2023-10-26 10:20:00,2023-10-26 10:20:00,629.5,501.0,549.1584920440475,523.1,85.91551027562365
63,2023-10-26 10:30:00,2023-10-26 10:30:00,644.9,525.0,564.545194249608,581.7428571428571,87.88130732554171
64,2023-10-26 10:40:00,2023-10-26 10:40:00,689.4,528.0,601.6454796413317,582.6,82.67843090543798
65,2023-10-26 10:50:00,2023-10-26 10:50:00,692.8,539.0,601.1174182475404,591.6857142857143,83.98669057460782
66,2023-10-26 11:00:00,2023-10-26 11:00:00,718.7,554.0,618.5135915713498,613.7285714285715,83.21310016686209
67,2023-10-26 11:10:00,2023-10-26 11:10:00,758.5,583.0,654.8064185643551,634.6857142857142,82.97410031062059
68,2023-10-26 11:20:00,2023-10-26 11:20:00,784.7,596.0,677.1607215261689,653.1,81.99213393330334
69,2023-10-26 11:30:00,2023-10-26 11:30:00,801.9,602.0,692.8126852604443,680.0714285714287,81.04119945304568
70,2023-10-26 11:40:00,2023-10-26 11:40:00,805.2,615.0,692.1430672990205,690.7285714285715,82.45195014065418
71,2023-10-26 11:50:00,2023-10-26 11:50:00,832.8,618.0,711.3860955864748,761.3142857142857,80.10826780165927
72,2023-10-26 12:00:00,2023-10-26 12:00:00,783.2,503.0,669.8075495215104,784.6999999999999,69.33058882339522
73,2023-10-26 12:10:00,2023-10-26 12:10:00,788.7,588.0,673.1848874924316,781.5714285714286,80.4813157164332
74,2023-10-26 12:20:00,2023-10-26 12:20:00,848.2,636.0,726.8232155359033,801.1571428571427,80.94470226010895
75,2023-10-26 12:30:00,2023-10-26 12:30:00,864.7,640.0,739.7987363880142,845.3142857142857,79.89950659532848
76,2023-10-26 12:40:00,2023-10-26 12:40:00,868.2,631.0,741.6251299089547,816.7285714285715,78.45834811918826
77,2023-10-26 12:50:00,2023-10-26 12:50:00,875.8,643.0,745.4660069607378,768.6428571428571,79.25663225045403
78,2023-10-26 13:00:00,2023-10-26 13:00:00,925.5,681.0,787.4585134009308,732.3714285714285,79.43287308107062
79,2023-10-26 13:10:00,2023-10-26 13:10:00,903.5,430.0,766.9165757498388,715.4000000000002,51.37713482599203
80,2023-10-26 13:20:00,2023-10-26 13:20:00,837.4,644.0,720.1035664859837,723.8857142857142,83.01995491872066
81,2023-10-26 13:30:00,2023-10-26 13:30:00,863.7,631.0,740.3956761848962,680.8857142857141,78.86712728618647
82,2023-10-26 13:40:00,2023-10-26 13:40:00,845.6,615.0,724.3108623521972,699.9571428571428,78.512665862411
83,2023-10-26 13:50:00,2023-10-26 13:50:00,835.6,614.0,714.0589314223622,668.3142857142857,79.32307148069138
84,2023-10-26 14:00:00,2023-10-26 14:00:00,772.3,596.0,665.6808085980624,654.842857142857,83.30859445482731
85,2023-10-26 14:10:00,2023-10-26 14:10:00,806.8,592.0,692.4329690990027,623.3857142857142,79.21098240147126
86,2023-10-26 14:20:00,2023-10-26 14:20:00,762.5,524.0,654.9255883556099,596.5,74.18584048557747
87,2023-10-26 14:30:00,2023-10-26 14:30:00,704.0,515.0,606.5731193753087,572.0,78.97036627038571
88,2023-10-26 14:40:00,2023-10-26 14:40:00,661.8,488.0,570.4357880748385,549.5,79.60175476979097
89,2023-10-26 14:50:00,2023-10-26 14:50:00,635.3,486.0,552.7225037501482,536.8857142857142,82.58230420064474
90,2023-10-26 15:00:00,2023-10-26 15:00:00,645.4,481.0,559.9901583963086,487.59999999999997,80.4536399732328
91,2023-10-26 15:10:00,2023-10-26 15:10:00,625.1,446.0,541.1150988259816,460.08571428571435,77.02202671429902
92,2023-10-26 15:20:00,2023-10-26 15:20:00,584.4,406.0,508.6351406431152,442.08571428571435,74.99726204576838
93,2023-10-26 15:30:00,2023-10-26 15:30:00,500.5,389.0,442.0093006821492,415.2428571428572,83.90253872474224
94,2023-10-26 15:40:00,2023-10-26 15:40:00,500.5,337.0,442.0093006821492,392.7142857142857,72.68677519341422
95,2023-10-26 15:50:00,2023-10-26 15:50:00,390.7,291.0,344.6467994578752,361.92857142857144,80.40427868136254
96,2023-10-26 16:00:00,2023-10-26 16:00:00,390.4,263.0,344.90739400685567,280.02857142857147,72.72362553564406
97,2023-10-26 16:10:00,2023-10-26 16:10:00,374.7,298.0,331.79305186993673,273.0571428571429,85.8543201193797
98,2023-10-26 16:20:00,2023-10-26 16:20:00,351.6,263.0,312.5208163252032,250.32857142857145,80.74887203957748
99,2023-10-26 16:30:00,2023-10-26 16:30:00,338.9,198.0,303.28413620343696,212.22857142857143,63.070054145259235
