,t,Q,P,h,Target,dt,tIn,tOff,PRDay
21,2023-10-26 05:20:55,0.0,5.847617,291.84652878,0.0,16.000833333333333,2023-10-26,2023-10-26 16:05:58,inf
22,2023-10-26 05:35:55,24.1609,42.36457,290.549725422,30.29091179041928,16.000833333333333,2023-10-26,2023-10-26 16:05:58,61.51771816622017
23,2023-10-26 05:50:55,21.06101,41.97572,291.216635382,26.465136804372847,16.000833333333333,2023-10-26,2023-10-26 16:05:58,69.76438540602898
24,2023-10-26 06:05:55,46.62168,104.6821,283.30590035800003,117.85831045988819,16.000833333333333,2023-10-26,2023-10-26 16:05:58,80.79042266559323
25,2023-10-26 06:20:55,71.84984,148.9859,274.042684172,176.91217663471727,16.000833333333333,2023-10-26,2023-10-26 16:05:58,77.13156502030672
26,2023-10-26 06:35:55,73.92537,156.4869,273.042217258,181.45321759202562,16.000833333333333,2023-10-26,2023-10-26 16:05:58,79.02885159052974
27,2023-10-26 06:50:55,69.99956,147.0118,274.579883204,172.5612113205819,16.000833333333333,2023-10-26,2023-10-26 16:05:58,77.96849685542612
28,2023-10-26 07:05:55,70.98101,149.3942,274.28354676000004,174.8658092507457,16.000833333333333,2023-10-26,2023-10-26 16:05:58,78.22089813352756
29,2023-10-26 07:20:55,70.39107,147.6292,274.39459644600004,173.40925649983413,16.000833333333333,2023-10-26,2023-10-26 16:05:58,77.91303774641119
30,2023-10-26 07:35:55,70.16045,147.3011,274.45027425,172.87619276845015,16.000833333333333,2023-10-26,2023-10-26 16:05:58,77.97959004547967
31,2023-10-26 07:50:55,70.56805,148.1916,274.39459644600004,173.918844835441,16.000833333333333,2023-10-26,2023-10-26 16:05:58,78.01370579611812
32,2023-10-26 08:05:55,70.63777,146.8135,274.320563322,174.04370302312051,16.000833333333333,2023-10-26,2023-10-26 16:05:58,77.23277520656603
33,2023-10-26 08:20:55,70.04246,146.6906,274.579883204,172.66696735627204,16.000833333333333,2023-10-26,2023-10-26 16:05:58,77.75049646553714
34,2023-10-26 08:35:55,70.5305,148.2699,274.39459644600004,173.82630079286693,16.000833333333333,2023-10-26,2023-10-26 16:05:58,78.0964818577181
35,2023-10-26 08:50:55,70.77721,150.167,273.875956682,174.1046286870633,16.000833333333333,2023-10-26,2023-10-26 16:05:58,78.96927495986655
