,Power,Var2,Var3,Eta
last_value,85.7995,0.0329248,30.7855,0.8461686625186005
MaxScala,248.0,80.0,50.0,100.0
Media,85.25212229568109,12.0,31.5,0.840770334323727
Dev,2.015630720884423,15.0,0.9,0.019878478909809205
