,t,Q,P,h,Target,dt,tIn,tOff,PRDay
39,2023-10-26 09:45:00,22.8905,56.4969,310.52816558,30.671502129319016,16.5,2023-10-26,2023-10-26 16:30:00,81.02132371727521
40,2023-10-26 10:00:00,22.8825,56.0078,311.63152426,30.769725653257577,16.5,2023-10-26,2023-10-26 16:30:00,80.06351474507352
41,2023-10-26 10:15:00,19.4986,47.3201,314.54696092,26.464743719411462,16.5,2023-10-26,2023-10-26 16:30:00,78.64800718002355
42,2023-10-26 10:30:00,32.0536,82.2818,307.99411168,87.65843974299982,16.5,2023-10-26,2023-10-26 16:30:00,84.96020463010366
43,2023-10-26 10:45:00,36.1742,91.5229,304.36485702,98.30631453708737,16.5,2023-10-26,2023-10-26 16:30:00,84.73587610210252
44,2023-10-26 11:00:00,36.386,92.87,306.55627828,99.5938459806178,16.5,2023-10-26,2023-10-26 16:30:00,84.87150590268183
45,2023-10-26 11:15:00,32.4911,83.3593,312.78892916,90.23817380570804,16.5,2023-10-26,2023-10-26 16:30:00,83.61212546637147
46,2023-10-26 11:30:00,32.192,82.59,309.6644458,88.51437624339147,16.5,2023-10-26,2023-10-26 16:30:00,84.4537921571803
47,2023-10-26 11:45:00,36.0979,89.6833,298.95411658,96.35504290051757,16.5,2023-10-26,2023-10-26 16:30:00,84.71417726118968
48,2023-10-26 12:00:00,33.3828,82.5513,302.9290631,89.96933535545247,16.5,2023-10-26,2023-10-26 16:30:00,83.21300531285237
49,2023-10-26 12:15:00,20.1798,46.6706,313.24475294,27.27592149305059,16.5,2023-10-26,2023-10-26 16:30:00,75.2616463314777
50,2023-10-26 12:30:00,16.5675,38.4098,314.26245346,22.46612883586739,16.5,2023-10-26,2023-10-26 16:30:00,75.20099076576827
51,2023-10-26 12:45:00,27.9817,70.4719,307.0692075,75.32984672190209,16.5,2023-10-26,2023-10-26 16:30:00,83.60583893259498
52,2023-10-26 13:00:00,32.5795,81.0049,302.67106888,87.72959718542756,16.5,2023-10-26,2023-10-26 16:30:00,83.73884327966607
53,2023-10-26 13:15:00,28.9616,71.0447,307.38226768,78.36746951467978,16.5,2023-10-26,2023-10-26 16:30:00,81.35070408103702
54,2023-10-26 13:30:00,16.58,37.078,314.52656612000004,22.501974532120116,16.5,2023-10-26,2023-10-26 16:30:00,72.47787188933172
55,2023-10-26 13:45:00,19.419,46.8462,312.40856614,26.17752387800709,16.5,2023-10-26,2023-10-26 16:30:00,78.71464941615889
56,2023-10-26 14:00:00,26.0102,64.5794,309.48599129999997,69.92349001497234,16.5,2023-10-26,2023-10-26 16:30:00,81.77872043257052
57,2023-10-26 14:15:00,23.4408,56.6111,311.48876065999997,31.506022534889244,16.5,2023-10-26,2023-10-26 16:30:00,79.0346939827471
58,2023-10-26 14:30:00,16.2106,36.5679,314.76110632,22.017039511280323,16.5,2023-10-26,2023-10-26 16:30:00,73.05515399618335
59,2023-10-26 14:45:00,26.199,67.3193,312.27396046,71.06551300664322,16.5,2023-10-26,2023-10-26 16:30:00,83.87839233004411
60,2023-10-26 15:00:00,30.5987,77.2713,310.99622624,84.27273960948361,16.5,2023-10-26,2023-10-26 16:30:00,82.77346136462123
61,2023-10-26 15:15:00,5.1172,8.2401,319.37848904000003,7.052073372941129,16.5,2023-10-26,2023-10-26 16:30:00,51.39553860967726
62,2023-10-26 15:30:00,18.5073,46.5735,313.53129988,25.038178830032,16.5,2023-10-26,2023-10-26 16:30:00,81.81744272950125
63,2023-10-26 15:45:00,25.1234,62.1813,311.00132494,33.71470944853082,16.5,2023-10-26,2023-10-26 16:30:00,81.12414597225239
64,2023-10-26 16:00:00,15.1198,34.0175,317.1442387,20.691007680279267,16.5,2023-10-26,2023-10-26 16:30:00,72.31535345754168
65,2023-10-26 16:15:00,24.4411,62.8015,313.32123344,33.04375127994277,16.5,2023-10-26,2023-10-26 16:30:00,83.59695026059944
66,2023-10-26 16:30:00,33.8452,86.9089,308.28881653999997,87.3500106612947,16.5,2023-10-26,2023-10-26 16:30:00,84.90639276974635
